"type"	"occupation"	"w_number_of_workers"	"w_median_weekly_earnings"	"m_number_of_workers"	"m_median_weekly_earnings"	"t_number_of_workers"	"t_median_weekly_earnings"	"is_pay_gap"	"cents_on_the_dollar"	"pay_gap_weekly"	"pay_gap_yearly"	"year"
"Management, professional, and related"	"Chief executives"	245	1464	745	2122	990	1963	"y"	68	658	34216	2011
"Management, professional, and related"	"General and operations managers"	270	972	651	1319	921	1191	"y"	73	347	18044	2011
"Management, professional, and related"	"Legislators"	4		9		13						2011
"Management, professional, and related"	"Advertising and promotions managers"	40		28		68	1164					2011
"Management, professional, and related"	"Marketing and sales managers"	392	1127	499	1660	891	1408	"y"	67	533	27716	2011
"Management, professional, and related"	"Public relations and fundraising managers"	29		33		62	1475					2011
"Management, professional, and related"	"Administrative services managers"	44		71	1170	115	1021					2011
"Management, professional, and related"	"Computer and information systems managers"	138	1543	392	1595	530	1579	"y"	96	52	2704	2011
"Management, professional, and related"	"Financial managers"	567	991	477	1504	1044	1166	"y"	65	513	26676	2011
"Management, professional, and related"	"Compensation and benefits managers"	14		7		21						2011
"Management, professional, and related"	"Human resources managers"	149	1273	58	1488	207	1331	"y"	85	215	11180	2011
"Management, professional, and related"	"Training and development managers"	12		24		36						2011
"Management, professional, and related"	"Industrial production managers"	45		204	1245	250	1211					2011
"Management, professional, and related"	"Purchasing managers"	89	1026	94	1368	183	1242	"y"	75	342	17784	2011
"Management, professional, and related"	"Transportation, storage, and distribution managers"	33		196	861	229	882					2011
"Management, professional, and related"	"Farmers, ranchers, and other agricultural managers"	17		81	855	98	800					2011
"Management, professional, and related"	"Construction managers"	31		433	1325	464	1268					2011
"Management, professional, and related"	"Education administrators"	467	1061	268	1532	735	1228	"y"	69	471	24492	2011
"Management, professional, and related"	"Architectural and engineering managers"	7		91	1908	98	1914					2011
"Management, professional, and related"	"Food service managers"	314	599	361	734	675	660	"y"	81	135	7020	2011
"Management, professional, and related"	"Funeral service managers"	5		4		8						2011
"Management, professional, and related"	"Gaming managers"	7		15		22						2011
"Management, professional, and related"	"Lodging managers"	55	841	36		91	883					2011
"Management, professional, and related"	"Medical and health services managers"	325	1166	125	1456	450	1252	"y"	80	290	15080	2011
"Management, professional, and related"	"Natural sciences managers"	7		5		12						2011
"Management, professional, and related"	"Postmasters and mail superintendents"	19		10		29						2011
"Management, professional, and related"	"Property, real estate, and community association managers"	182	728	135	1201	317	921	"y"	60	473	24596	2011
"Management, professional, and related"	"Social and community service managers"	196	973	81	1221	277	1045	"y"	79	248	12896	2011
"Management, professional, and related"	"Emergency management directors"	1		4		5						2011
"Management, professional, and related"	"Managers, all other"	737	1047	1313	1406	2050	1265	"y"	74	359	18668	2011
"Management, professional, and related"	"Agents and business managers of artists, performers, and athletes"	13		12		25						2011
"Management, professional, and related"	"Buyers and purchasing agents, farm products"	2		5		7						2011
"Management, professional, and related"	"Wholesale and retail buyers, except farm products"	62	849	68	928	130	882	"y"	91	79	4108	2011
"Management, professional, and related"	"Purchasing agents, except wholesale, retail, and farm products"	118	945	108	1129	226	1015	"y"	83	184	9568	2011
"Management, professional, and related"	"Claims adjusters, appraisers, examiners, and investigators"	162	804	110	1077	271	913	"y"	74	273	14196	2011
"Management, professional, and related"	"Compliance officers"	78	995	98	1279	176	1125	"y"	77	284	14768	2011
"Management, professional, and related"	"Cost estimators"	19		87	1117	106	1080					2011
"Management, professional, and related"	"Human resources workers"	406	912	116	1053	522	938	"y"	86	141	7332	2011
"Management, professional, and related"	"Compensation, benefits, and job analysis specialists"	39		13		53	893					2011
"Management, professional, and related"	"Training and development specialists"	64	951	53	1260	117	1059	"y"	75	309	16068	2011
"Management, professional, and related"	"Logisticians"	27		50	938	77	864					2011
"Management, professional, and related"	"Management analysts"	208	1174	250	1514	458	1355	"y"	77	340	17680	2011
"Management, professional, and related"	"Meeting, convention, and event planners"	71	892	16		87	889					2011
"Management, professional, and related"	"Fundraisers"	42		14		56	1064					2011
"Management, professional, and related"	"Market research analysts and marketing specialists"	101	1029	66	1446	167	1157	"y"	71	417	21684	2011
"Management, professional, and related"	"Business operations specialists, all other"	149	908	88	1185	238	991	"y"	76	277	14404	2011
"Management, professional, and related"	"Accountants and auditors"	852	956	532	1250	1383	1056	"y"	76	294	15288	2011
"Management, professional, and related"	"Appraisers and assessors of real estate"	20		30		50	990					2011
"Management, professional, and related"	"Budget analysts"	30		22		52	1174					2011
"Management, professional, and related"	"Credit analysts"	12		9		21						2011
"Management, professional, and related"	"Financial analysts"	22		40		63	1737					2011
"Management, professional, and related"	"Personal financial advisors"	97	941	173	1535	270	1239	"y"	61	594	30888	2011
"Management, professional, and related"	"Insurance underwriters"	64	939	44		108	970					2011
"Management, professional, and related"	"Financial examiners"	5		2		7						2011
"Management, professional, and related"	"Credit counselors and loan officers"	159	829	147	1345	306	1024	"y"	61	516	26832	2011
"Management, professional, and related"	"Tax examiners and collectors, and revenue agents"	40		27		67	920					2011
"Management, professional, and related"	"Tax preparers"	41		13		55	701					2011
"Management, professional, and related"	"Financial specialists, all other"	41		30		72	913					2011
"Management, professional, and related"	"Computer and information research scientists"	2		17		19						2011
"Management, professional, and related"	"Computer systems analysts"	132	1144	242	1410	373	1328	"y"	81	266	13832	2011
"Management, professional, and related"	"Information security analysts"	7		38		45						2011
"Management, professional, and related"	"Computer programmers"	83	1238	329	1330	411	1277	"y"	93	92	4784	2011
"Management, professional, and related"	"Software developers, applications and systems software"	179	1388	812	1606	990	1558	"y"	86	218	11336	2011
"Management, professional, and related"	"Web developers"	35		81	1033	117	1017					2011
"Management, professional, and related"	"Computer support specialists"	107	951	326	896	434	915	"n"	106	-55	-2860	2011
"Management, professional, and related"	"Database administrators"	48		90	1470	138	1238					2011
"Management, professional, and related"	"Network and computer systems administrators"	49		172	1243	221	1180					2011
"Management, professional, and related"	"Computer network architects"	12		81	1585	94	1441					2011
"Management, professional, and related"	"Computer occupations, all other"	61	998	221	1165	282	1127	"y"	85	167	8684	2011
"Management, professional, and related"	"Actuaries"	5		12		17						2011
"Management, professional, and related"	"Mathematicians"	1		1		2						2011
"Management, professional, and related"	"Operations research analysts"	51	1326	66	1258	116	1273	"n"	105	-68	-3536	2011
"Management, professional, and related"	"Statisticians"	13		17		30						2011
"Management, professional, and related"	"Miscellaneous mathematical science occupations"	2		5		6						2011
"Management, professional, and related"	"Architects, except naval"	21		92	1351	113	1325					2011
"Management, professional, and related"	"Surveyors, cartographers, and photogrammetrists"	5		26		31						2011
"Management, professional, and related"	"Aerospace engineers"	16		119	1745	134	1621					2011
"Management, professional, and related"	"Agricultural engineers"	0		1		1						2011
"Management, professional, and related"	"Biomedical engineers"	2		10		12						2011
"Management, professional, and related"	"Chemical engineers"	16		57	1885	73	1757					2011
"Management, professional, and related"	"Civil engineers"	46		289	1436	335	1398					2011
"Management, professional, and related"	"Computer hardware engineers"	10		66	1546	76	1528					2011
"Management, professional, and related"	"Electrical and electronics engineers"	26		256	1455	283	1442					2011
"Management, professional, and related"	"Environmental engineers"	10		26		36						2011
"Management, professional, and related"	"Industrial engineers, including health and safety"	34		143	1356	178	1336					2011
"Management, professional, and related"	"Marine engineers and naval architects"	1		6		6						2011
"Management, professional, and related"	"Materials engineers"	4		26		30						2011
"Management, professional, and related"	"Mechanical engineers"	16		290	1399	306	1374					2011
"Management, professional, and related"	"Mining and geological engineers, including mining safety engineers"	1		8		9						2011
"Management, professional, and related"	"Nuclear engineers"	2		20		23						2011
"Management, professional, and related"	"Petroleum engineers"	1		18		19						2011
"Management, professional, and related"	"Engineers, all other"	35		275	1361	310	1366					2011
"Management, professional, and related"	"Drafters"	23		102	1052	124	941					2011
"Management, professional, and related"	"Engineering technicians, except drafters"	40		301	952	341	954					2011
"Management, professional, and related"	"Surveying and mapping technicians"	6		47		53	777					2011
"Management, professional, and related"	"Agricultural and food scientists"	10		17		27						2011
"Management, professional, and related"	"Biological scientists"	50	853	53	1177	103	1031	"y"	72	324	16848	2011
"Management, professional, and related"	"Conservation scientists and foresters"	4		18		22						2011
"Management, professional, and related"	"Medical scientists"	78	1127	64	1102	141	1109	"n"	102	-25	-1300	2011
"Management, professional, and related"	"Astronomers and physicists"	4		15		18						2011
"Management, professional, and related"	"Atmospheric and space scientists"	1		6		7						2011
"Management, professional, and related"	"Chemists and materials scientists"	38		45		83	1169					2011
"Management, professional, and related"	"Environmental scientists and geoscientists"	25		61	1408	86	1383					2011
"Management, professional, and related"	"Physical scientists, all other"	51	1167	82	1483	133	1383	"y"	78	316	16432	2011
"Management, professional, and related"	"Economists"	8		12		20						2011
"Management, professional, and related"	"Survey researchers"	0		0		1						2011
"Management, professional, and related"	"Psychologists"	74	1244	31		104	1229					2011
"Management, professional, and related"	"Sociologists"	2		0		2						2011
"Management, professional, and related"	"Urban and regional planners"	9		10		19						2011
"Management, professional, and related"	"Miscellaneous social scientists and related workers"	29		19		48						2011
"Management, professional, and related"	"Agricultural and food science technicians"	6		7		13						2011
"Management, professional, and related"	"Biological technicians"	9		10		19						2011
"Management, professional, and related"	"Chemical technicians"	29		40		69	788					2011
"Management, professional, and related"	"Geological and petroleum technicians"	3		3		6						2011
"Management, professional, and related"	"Nuclear technicians"	1		2		3						2011
"Management, professional, and related"	"Social science research assistants"	0		1		1						2011
"Management, professional, and related"	"Miscellaneous life, physical, and social science technicians"	49		69	807	118	763					2011
"Management, professional, and related"	"Counselors"	380	808	188	874	568	828	"y"	92	66	3432	2011
"Management, professional, and related"	"Social workers"	554	798	130	902	684	817	"y"	88	104	5408	2011
"Management, professional, and related"	"Probation officers and correctional treatment specialists"	44		41		86	822					2011
"Management, professional, and related"	"Social and human service assistants"	83	597	21		105	597					2011
"Management, professional, and related"	"Miscellaneous community and social service specialists, including health educators and community health workers"	39		23		62	676					2011
"Management, professional, and related"	"Clergy"	51	889	292	961	343	945	"y"	92	72	3744	2011
"Management, professional, and related"	"Directors, religious activities and education"	25		10		34						2011
"Management, professional, and related"	"Religious workers, all other"	26		24		50	654					2011
"Management, professional, and related"	"Lawyers"	242	1631	462	1884	704	1774	"y"	86	253	13156	2011
"Management, professional, and related"	"Judicial law clerks"	3		1		4						2011
"Management, professional, and related"	"Judges, magistrates, and other judicial workers"	26		32		58	1655					2011
"Management, professional, and related"	"Paralegals and legal assistants"	286	813	52	884	338	824	"y"	91	71	3692	2011
"Management, professional, and related"	"Miscellaneous legal support workers"	120	788	35		155	815					2011
"Management, professional, and related"	"Postsecondary teachers"	399	1093	526	1358	925	1209	"y"	80	265	13780	2011
"Management, professional, and related"	"Preschool and kindergarten teachers"	519	603	13		532	606					2011
"Management, professional, and related"	"Elementary and middle school teachers"	1973	933	463	1022	2436	947	"y"	91	89	4628	2011
"Management, professional, and related"	"Secondary school teachers"	575	989	431	1049	1005	1015	"y"	94	60	3120	2011
"Management, professional, and related"	"Special education teachers"	308	935	55	967	364	939	"y"	96	32	1664	2011
"Management, professional, and related"	"Other teachers and instructors"	205	739	163	1105	368	858	"y"	66	366	19032	2011
"Management, professional, and related"	"Archivists, curators, and museum technicians"	26		12		38						2011
"Management, professional, and related"	"Librarians"	118	813	21		139	850					2011
"Management, professional, and related"	"Library technicians"	10		3		13						2011
"Management, professional, and related"	"Teacher assistants"	566	471	39		605	480					2011
"Management, professional, and related"	"Other education, training, and library workers"	71	979	23		94	982					2011
"Management, professional, and related"	"Artists and related workers"	21		36		56	1115					2011
"Management, professional, and related"	"Designers"	201	816	257	1045	458	950	"y"	78	229	11908	2011
"Management, professional, and related"	"Actors"	2		6		8						2011
"Management, professional, and related"	"Producers and directors"	47		58	1130	105	1023					2011
"Management, professional, and related"	"Athletes, coaches, umpires, and related workers"	25		84	919	109	825					2011
"Management, professional, and related"	"Dancers and choreographers"	3		3		6						2011
"Management, professional, and related"	"Musicians, singers, and related workers"	5		29		35						2011
"Management, professional, and related"	"Entertainers and performers, sports and related workers, all other"	4		3		7						2011
"Management, professional, and related"	"Announcers"	9		24		32						2011
"Management, professional, and related"	"News analysts, reporters and correspondents"	18		44		62	937					2011
"Management, professional, and related"	"Public relations specialists"	75	887	49		123	954					2011
"Management, professional, and related"	"Editors"	74	892	58	933	132	902	"y"	95	41	2132	2011
"Management, professional, and related"	"Technical writers"	26		20		46						2011
"Management, professional, and related"	"Writers and authors"	43		42		85	918					2011
"Management, professional, and related"	"Miscellaneous media and communication workers"	32		15		47						2011
"Management, professional, and related"	"Broadcast and sound engineering technicians and radio operators"	6		73	872	79	857					2011
"Management, professional, and related"	"Photographers"	16		29		45						2011
"Management, professional, and related"	"Television, video, and motion picture camera operators and editors"	5		22		27						2011
"Management, professional, and related"	"Media and communication equipment workers, all other"	1		1		2						2011
"Management, professional, and related"	"Chiropractors"	2		3		5						2011
"Management, professional, and related"	"Dentists"	9		33		42						2011
"Management, professional, and related"	"Dietitians and nutritionists"	64	906	6		69	897					2011
"Management, professional, and related"	"Optometrists"	3		6		9						2011
"Management, professional, and related"	"Pharmacists"	110	1898	85	1998	195	1917	"y"	94	100	5200	2011
"Management, professional, and related"	"Physicians and surgeons"	206	1527	366	1935	573	1860	"y"	78	408	21216	2011
"Management, professional, and related"	"Physician assistants"	44		24		69	1220					2011
"Management, professional, and related"	"Podiatrists"	1		0		1						2011
"Management, professional, and related"	"Audiologists"	10		4		14						2011
"Management, professional, and related"	"Occupational therapists"	62	1193	10		72	1189					2011
"Management, professional, and related"	"Physical therapists"	87	1216	59	1522	146	1322	"y"	79	306	15912	2011
"Management, professional, and related"	"Radiation therapists"	10		2		12						2011
"Management, professional, and related"	"Recreational therapists"	7		3		10						2011
"Management, professional, and related"	"Respiratory therapists"	73	1028	53	966	126	997	"n"	106	-62	-3224	2011
"Management, professional, and related"	"Speech-language pathologists"	84	1076	3		87	1075					2011
"Management, professional, and related"	"Exercise physiologists"	1		1		2						2011
"Management, professional, and related"	"Therapists, all other"	64	869	19		83	885					2011
"Management, professional, and related"	"Veterinarians"	28		12		40						2011
"Management, professional, and related"	"Registered nurses"	1937	1034	208	1081	2145	1039	"y"	95	47	2444	2011
"Management, professional, and related"	"Nurse anesthetists"	10		16		26						2011
"Management, professional, and related"	"Nurse midwives"	2		0		2						2011
"Management, professional, and related"	"Nurse practitioners"	69	1432	11		81	1461					2011
"Management, professional, and related"	"Health diagnosing and treating practitioners, all other"	2		3		5						2011
"Management, professional, and related"	"Clinical laboratory technologists and technicians"	206	845	77	888	282	861	"y"	95	43	2236	2011
"Management, professional, and related"	"Dental hygienists"	59	992	3		61	986					2011
"Management, professional, and related"	"Diagnostic related technologists and technicians"	191	964	82	1054	273	981	"y"	91	90	4680	2011
"Management, professional, and related"	"Emergency medical technicians and paramedics"	54	649	113	757	167	715	"y"	85	108	5616	2011
"Management, professional, and related"	"Health practitioner support technologists and technicians"	283	632	91	682	374	644	"y"	92	50	2600	2011
"Management, professional, and related"	"Licensed practical and licensed vocational nurses"	386	720	39		424	722					2011
"Management, professional, and related"	"Medical records and health information technicians"	96	574	10		107	588					2011
"Management, professional, and related"	"Opticians, dispensing"	26		8		34						2011
"Management, professional, and related"	"Miscellaneous health technologists and technicians"	89	711	38		127	744					2011
"Management, professional, and related"	"Other healthcare practitioners and technical occupations"	22		41		63	870					2011
"Service"	"Nursing, psychiatric, and home health aides"	1134	446	172	502	1305	453	"y"	88	56	2912	2011
"Service"	"Occupational therapy assistants and aides"	11		1		12						2011
"Service"	"Physical therapist assistants and aides"	32		22		54	665					2011
"Service"	"Massage therapists"	28		6		34						2011
"Service"	"Dental assistants"	184	582	7		191	579					2011
"Service"	"Medical assistants"	293	518	21		314	522					2011
"Service"	"Medical transcriptionists"	43		2		44						2011
"Service"	"Pharmacy aides"	14		10		23						2011
"Service"	"Veterinary assistants and laboratory animal caretakers"	13		7		20						2011
"Service"	"Phlebotomists"	77	516	16		94	521					2011
"Service"	"Miscellaneous healthcare support occupations, including medical equipment preparers"	72	480	26		98	487					2011
"Service"	"First-line supervisors of correctional officers"	11		30		41						2011
"Service"	"First-line supervisors of police and detectives"	18		83	1109	101	1083					2011
"Service"	"First-line supervisors of fire fighting and prevention workers"	1		39		40						2011
"Service"	"First-line supervisors of protective service workers, all other"	23		73	788	96	716					2011
"Service"	"Firefighters"	11		281	998	291	1000					2011
"Service"	"Fire inspectors"	1		17		18						2011
"Service"	"Bailiffs, correctional officers, and jailers"	116	586	320	722	436	682	"y"	81	136	7072	2011
"Service"	"Detectives and criminal investigators"	22		125	1192	147	1154					2011
"Service"	"Fish and game wardens"	1		5		5						2011
"Service"	"Parking enforcement workers"	2		3		5						2011
"Service"	"Police and sheriff's patrol officers"	75	938	578	948	653	947	"y"	98	10	520	2011
"Service"	"Transit and railroad police"	0		7		7						2011
"Service"	"Animal control workers"	4		5		8						2011
"Service"	"Private detectives and investigators"	30		56	891	86	869					2011
"Service"	"Security guards and gaming surveillance officers"	156	474	619	544	775	519	"y"	87	70	3640	2011
"Service"	"Crossing guards"	8		15		23						2011
"Service"	"Transportation security screeners"	10		12		21						2011
"Service"	"Lifeguards and other recreational, and all other protective service workers"	23		21		44						2011
"Service"	"Chefs and head cooks"	53	502	245	601	299	580	"y"	83	99	5148	2011
"Service"	"First-line supervisors of food preparation and serving workers"	220	458	158	525	378	485	"y"	87	67	3484	2011
"Service"	"Cooks"	449	363	761	406	1210	390	"y"	89	43	2236	2011
"Service"	"Food preparation workers"	202	375	155	395	357	384	"y"	94	20	1040	2011
"Service"	"Bartenders"	106	505	104	593	210	545	"y"	85	88	4576	2011
"Service"	"Combined food preparation and serving workers, including fast food"	114	385	46		161	387					2011
"Service"	"Counter attendants, cafeteria, food concession, and coffee shop"	32		26		58	323					2011
"Service"	"Waiters and waitresses"	559	389	313	466	872	407	"y"	83	77	4004	2011
"Service"	"Food servers, nonrestaurant"	52	393	31		84	419					2011
"Service"	"Dining room and cafeteria attendants and bartender helpers"	42		77	392	119	383					2011
"Service"	"Dishwashers"	28		90	321	118	332					2011
"Service"	"Hosts and hostesses, restaurant, lounge, and coffee shop"	52	356	10		62	369					2011
"Service"	"Food preparation and serving related workers, all other"	0		4		4						2011
"Service"	"First-line supervisors of housekeeping and janitorial workers"	67	488	113	756	179	646	"y"	64	268	13936	2011
"Service"	"First-line supervisors of landscaping, lawn service, and groundskeeping workers"	10		85	808	94	797					2011
"Service"	"Janitors and building cleaners"	384	418	1111	514	1496	489	"y"	81	96	4992	2011
"Service"	"Maids and housekeeping cleaners"	638	392	114	473	751	399	"y"	82	81	4212	2011
"Service"	"Pest control workers"	1		57	572	58	575					2011
"Service"	"Grounds maintenance workers"	29		732	424	761	425					2011
"Service"	"First-line supervisors of gaming workers"	39		51	876	90	739					2011
"Service"	"First-line supervisors of personal service workers"	46		21		67	613					2011
"Service"	"Animal trainers"	7		9		16						2011
"Service"	"Nonfarm animal caretakers"	60	417	22		82	419					2011
"Service"	"Gaming services workers"	39		43		82	636					2011
"Service"	"Motion picture projectionists"	0		3		3						2011
"Service"	"Ushers, lobby attendants, and ticket takers"	6		3		9						2011
"Service"	"Miscellaneous entertainment attendants and related workers"	31		35		66	424					2011
"Service"	"Embalmers and funeral attendants"	2		3		5						2011
"Service"	"Morticians, undertakers, and funeral directors"	3		12		16						2011
"Service"	"Barbers"	4		25		29						2011
"Service"	"Hairdressers, hairstylists, and cosmetologists"	259	440	23		282	453					2011
"Service"	"Miscellaneous personal appearance workers"	104	413	32		136	441					2011
"Service"	"Baggage porters, bellhops, and concierges"	8		55	561	63	545					2011
"Service"	"Tour and travel guides"	3		6		9						2011
"Service"	"Childcare workers"	342	383	26		367	382					2011
"Service"	"Personal care aides"	455	407	94	454	549	412	"y"	89	47	2444	2011
"Service"	"Recreation and fitness workers"	101	494	76	575	177	506	"y"	85	81	4212	2011
"Service"	"Residential advisors"	27		15		42						2011
"Service"	"Personal care and service workers, all other"	11		23		34						2011
"Sales and office"	"First-line supervisors of retail sales workers"	959	599	1263	759	2223	676	"y"	78	160	8320	2011
"Sales and office"	"First-line supervisors of non-retail sales workers"	214	781	488	1016	702	951	"y"	76	235	12220	2011
"Sales and office"	"Cashiers"	962	373	381	411	1343	383	"y"	90	38	1976	2011
"Sales and office"	"Counter and rental clerks"	38		50	620	87	603					2011
"Sales and office"	"Parts salespersons"	16		100	587	117	610					2011
"Sales and office"	"Retail salespersons"	733	466	1056	620	1789	545	"y"	75	154	8008	2011
"Sales and office"	"Advertising sales agents"	112	772	90	961	202	893	"y"	80	189	9828	2011
"Sales and office"	"Insurance sales agents"	201	665	183	1033	384	807	"y"	64	368	19136	2011
"Sales and office"	"Securities, commodities, and financial services sales agents"	73	884	149	1269	222	1144	"y"	69	385	20020	2011
"Sales and office"	"Travel agents"	38		11		49						2011
"Sales and office"	"Sales representatives, services, all other"	119	757	278	953	397	887	"y"	79	196	10192	2011
"Sales and office"	"Sales representatives, wholesale and manufacturing"	262	927	829	1019	1091	991	"y"	90	92	4784	2011
"Sales and office"	"Models, demonstrators, and product promoters"	11		4		15						2011
"Sales and office"	"Real estate brokers and sales agents"	204	676	176	992	380	812	"y"	68	316	16432	2011
"Sales and office"	"Sales engineers"	3		27		30						2011
"Sales and office"	"Telemarketers"	40		29		69	412					2011
"Sales and office"	"Door-to-door sales workers, news and street vendors, and related workers"	20		35		55	526					2011
"Sales and office"	"Sales and related workers, all other"	64	618	76	985	140	781	"y"	62	367	19084	2011
"Sales and office"	"First-line supervisors of office and administrative support workers"	856	741	418	833	1274	764	"y"	88	92	4784	2011
"Sales and office"	"Switchboard operators, including answering service"	25		4		29						2011
"Sales and office"	"Telephone operators"	30		7		38						2011
"Sales and office"	"Communications equipment operators, all other"	3		4		6						2011
"Sales and office"	"Bill and account collectors"	130	597	48		178	608					2011
"Sales and office"	"Billing and posting clerks"	359	605	38		397	607					2011
"Sales and office"	"Bookkeeping, accounting, and auditing clerks"	750	656	112	654	862	655	"n"	100	-2	-104	2011
"Sales and office"	"Gaming cage workers"	1		1		2						2011
"Sales and office"	"Payroll and timekeeping clerks"	125	704	11		136	710					2011
"Sales and office"	"Procurement clerks"	16		9		24						2011
"Sales and office"	"Tellers"	241	500	41		283	492					2011
"Sales and office"	"Financial clerks, all other"	48		16		64	793					2011
"Sales and office"	"Brokerage clerks"	4		7		11						2011
"Sales and office"	"Correspondence clerks"	8		2		10						2011
"Sales and office"	"Court, municipal, and license clerks"	60	738	14		74	763					2011
"Sales and office"	"Credit authorizers, checkers, and clerks"	34		13		47						2011
"Sales and office"	"Customer service representatives"	972	569	538	628	1509	588	"y"	90	59	3068	2011
"Sales and office"	"Eligibility interviewers, government programs"	70	632	9		79	632					2011
"Sales and office"	"File clerks"	217	620	32		248	616					2011
"Sales and office"	"Hotel, motel, and resort desk clerks"	53	416	33		86	423					2011
"Sales and office"	"Interviewers, except eligibility and loan"	99	551	21		121	546					2011
"Sales and office"	"Library assistants, clerical"	38		12		49						2011
"Sales and office"	"Loan interviewers and clerks"	93	696	17		110	706					2011
"Sales and office"	"New accounts clerks"	19		8		27						2011
"Sales and office"	"Order clerks"	60	577	35		96	586					2011
"Sales and office"	"Human resources assistants, except payroll and timekeeping"	40		5		45						2011
"Sales and office"	"Receptionists and information clerks"	790	520	78	521	868	520	"y"	99	1	52	2011
"Sales and office"	"Reservation and transportation ticket agents and travel clerks"	47		33		80	649					2011
"Sales and office"	"Information and record clerks, all other"	86	737	18		105	744					2011
"Sales and office"	"Cargo and freight agents"	2		4		6						2011
"Sales and office"	"Couriers and messengers"	19		145	785	164	744					2011
"Sales and office"	"Dispatchers"	126	626	81	728	207	651	"y"	85	102	5304	2011
"Sales and office"	"Meter readers, utilities"	3		18		21						2011
"Sales and office"	"Postal service clerks"	63	892	66	1014	129	978	"y"	87	122	6344	2011
"Sales and office"	"Postal service mail carriers"	98	892	205	1017	303	979	"y"	87	125	6500	2011
"Sales and office"	"Postal service mail sorters, processors, and processing machine operators"	24		33		57	918					2011
"Sales and office"	"Production, planning, and expediting clerks"	116	722	110	916	226	812	"y"	78	194	10088	2011
"Sales and office"	"Shipping, receiving, and traffic clerks"	141	543	340	571	481	562	"y"	95	28	1456	2011
"Sales and office"	"Stock clerks and order fillers"	337	501	655	488	992	492	"n"	102	-13	-676	2011
"Sales and office"	"Weighers, measurers, checkers, and samplers, recordkeeping"	28		32		60	596					2011
"Sales and office"	"Secretaries and administrative assistants"	2059	651	84	757	2143	654	"y"	85	106	5512	2011
"Sales and office"	"Computer operators"	56	651	59	853	116	724	"y"	76	202	10504	2011
"Sales and office"	"Data entry keyers"	231	597	49		280	595					2011
"Sales and office"	"Word processors and typists"	99	594	10		109	599					2011
"Sales and office"	"Desktop publishers"	0		1		1						2011
"Sales and office"	"Insurance claims and policy processing clerks"	197	647	39		236	660					2011
"Sales and office"	"Mail clerks and mail machine operators, except postal service"	41		38		79	521					2011
"Sales and office"	"Office clerks, general"	673	594	121	712	794	604	"y"	83	118	6136	2011
"Sales and office"	"Office machine operators, except computer"	20		11		31						2011
"Sales and office"	"Proofreaders and copy markers"	6		1		7						2011
"Sales and office"	"Statistical assistants"	8		4		12						2011
"Sales and office"	"Office and administrative support workers, all other"	286	645	101	792	387	679	"y"	81	147	7644	2011
"Natural resources, construction, and maintenance"	"First-line supervisors of farming, fishing, and forestry workers"	3		35		38						2011
"Natural resources, construction, and maintenance"	"Agricultural inspectors"	12		11		23						2011
"Natural resources, construction, and maintenance"	"Animal breeders"	1		2		3						2011
"Natural resources, construction, and maintenance"	"Graders and sorters, agricultural products"	53	363	32		85	379					2011
"Natural resources, construction, and maintenance"	"Miscellaneous agricultural workers"	77	370	488	427	565	419	"y"	86	57	2964	2011
"Natural resources, construction, and maintenance"	"Fishers and related fishing workers"	0		13		13						2011
"Natural resources, construction, and maintenance"	"Hunters and trappers"	0		1		1						2011
"Natural resources, construction, and maintenance"	"Forest and conservation workers"	4		4		8						2011
"Natural resources, construction, and maintenance"	"Logging workers"	0		39		39						2011
"Natural resources, construction, and maintenance"	"First-line supervisors of construction trades and extraction workers"	15		467	1001	482	992					2011
"Natural resources, construction, and maintenance"	"Boilermakers"	0		18		18						2011
"Natural resources, construction, and maintenance"	"Brickmasons, blockmasons, and stonemasons"	1		95	706	96	710					2011
"Natural resources, construction, and maintenance"	"Carpenters"	10		727	630	737	630					2011
"Natural resources, construction, and maintenance"	"Carpet, floor, and tile installers and finishers"	1		109	581	110	579					2011
"Natural resources, construction, and maintenance"	"Cement masons, concrete finishers, and terrazzo workers"	0		59	651	59	651					2011
"Natural resources, construction, and maintenance"	"Construction laborers"	15		846	587	862	586					2011
"Natural resources, construction, and maintenance"	"Paving, surfacing, and tamping equipment operators"	0		18		19						2011
"Natural resources, construction, and maintenance"	"Pile-driver operators"	0		1		1						2011
"Natural resources, construction, and maintenance"	"Operating engineers and other construction equipment operators"	2		343	809	345	809					2011
"Natural resources, construction, and maintenance"	"Drywall installers, ceiling tile installers, and tapers"	1		100	509	101	507					2011
"Natural resources, construction, and maintenance"	"Electricians"	3		539	855	542	857					2011
"Natural resources, construction, and maintenance"	"Glaziers"	0		40		40						2011
"Natural resources, construction, and maintenance"	"Insulation workers"	2		39		41						2011
"Natural resources, construction, and maintenance"	"Painters, construction and maintenance"	17		249	555	266	544					2011
"Natural resources, construction, and maintenance"	"Paperhangers"	0		2		2						2011
"Natural resources, construction, and maintenance"	"Pipelayers, plumbers, pipefitters, and steamfitters"	11		406	853	417	851					2011
"Natural resources, construction, and maintenance"	"Plasterers and stucco masons"	0		13		13						2011
"Natural resources, construction, and maintenance"	"Reinforcing iron and rebar workers"	0		5		5						2011
"Natural resources, construction, and maintenance"	"Roofers"	3		141	520	143	523					2011
"Natural resources, construction, and maintenance"	"Sheet metal workers"	3		104	805	107	805					2011
"Natural resources, construction, and maintenance"	"Structural iron and steel workers"	0		66	870	66	870					2011
