FACID,NAME,ADDRESS,CITY,COUNTY,ZIP,TYPE,CAPACITY,LATITUDE,LONGITUDE,LOCATION
070001401,Hospice And Palliative Care Of Jfcs,2150 Post St,San Francisco,SAN FRANCISCO,94115,Hospice,0,37.784692,-122.437177,"(37.784692, -122.437177)"
070001404,Tupaz Home #11,1850 Potrero Dr,San Jose,SANTA CLARA,95124,Intermediate Care Facility/Developmentally Disabled - Nursing,6,37.271595,-121.920453,"(37.271595, -121.920453)"
070001410,Mission Oaks Hospital,15891 Los Gatos Almaden Rd,Los Gatos,SANTA CLARA,95032,Acute Psychiatric Hospital,21,37.243581,-121.947981,"(37.243581, -121.947981)"
070001412,Franklin Mckinley District Clinic,645 Wool Creek Dr,San Jose,SANTA CLARA,95112,Community Clinic,0,37.315894,-121.850049,"(37.315894, -121.850049)"
070001413,Vitas Healthcare Corporation Of California,355 Lennon Ln,Walnut Creek,CONTRA COSTA,94598,Hospice,0,37.927814,-122.030089,"(37.927814, -122.030089)"
070001415,San Jose High Neighborhood Clinic,1149 E Julian St,San Jose,SANTA CLARA,95116,Community Clinic,0,37.350945,-121.871356,"(37.350945, -121.871356)"
070001425,Gilroy Neighborhood Clinic At South Valley Jr H S,7861 Murray Ave,Gilroy,SANTA CLARA,95020,Community Clinic,0,37.015812,-121.565869,"(37.015812, -121.565869)"
070001434,VALLEY AMBULATORY SURGERY CENTER,2581 Samaritan Dr,San Jose,SANTA CLARA,95124,Surgical Clinic,0,37.252949,-121.95053,"(37.252949, -121.95053)"
070001436,VN Home Health Care,2528 Qume Dr,San Jose,SANTA CLARA,95131,Home Health Agency,0,37.400704,-121.888797,"(37.400704, -121.888797)"
070001444,Focus Health,1245 S Winchester Blvd,San Jose,SANTA CLARA,95128,Home Health Agency,0,37.302764,-121.950075,"(37.302764, -121.950075)"
070001445,Clinica De Salud Del Valle De Salinas-MHC (homes),440 Airport Blvd,Salinas,MONTEREY,93905,Community Clinic,0,36.665265,-121.616773,"(36.665265, -121.616773)"
070001446,Alliance Home Health,19045 Portola Dr,Salinas,MONTEREY,93908,Home Health Agency,0,36.62327,-121.685539,"(36.62327, -121.685539)"
080000001,Encinitas Nursing And Rehabilitation Center,900 Santa Fe Dr,Encinitas,SAN DIEGO,92024,Skilled Nursing Facility,99,33.036309,-117.272134,"(33.036309, -117.272134)"
080000007,Villa Monte Vista,12696 Monte Vista Rd,Poway,SAN DIEGO,92064,Skilled Nursing Facility,149,32.994499,-117.054214,"(32.994499, -117.054214)"
080000012,Poway Healthcare Center,15632 Pomerado Rd,Poway,SAN DIEGO,92064,Skilled Nursing Facility,99,32.997418,-117.058017,"(32.997418, -117.058017)"
080000014,Redwood Terrace Health Center,710 W 13th Ave,Escondido,SAN DIEGO,92025,Skilled Nursing Facility,59,33.106298,-117.083064,"(33.106298, -117.083064)"
080000017,The Royal Home,12436 Royal Rd,El Cajon,SAN DIEGO,92021,Skilled Nursing Facility,19,32.824117,-116.924026,"(32.824117, -116.924026)"
080000022,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,SAN DIEGO,92037,General Acute Care Hospital,173,32.896608,-117.241775,"(32.896608, -117.241775)"
080000023,Rady Children's Hospital - San Diego,3020 Childrens Way,San Diego,SAN DIEGO,92123,General Acute Care Hospital,520,32.798485,-117.150822,"(32.798485, -117.150822)"
080000030,Escondido Care Center,421 E Mission Ave,Escondido,SAN DIEGO,92025,Skilled Nursing Facility,180,33.131793,-117.080653,"(33.131793, -117.080653)"
080000031,Country Villa La Mesa Healthcare Center,5696 Lake Murray Blvd,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,99,32.783357,-117.0287,"(32.783357, -117.0287)"
080000032,California Special Care Center,8787 Center Dr,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,90,32.781629,-117.009043,"(32.781629, -117.009043)"
080000035,Rady Children's Convalescent Hospital,3020 Childrens Way,San Diego,SAN DIEGO,92123,Skilled Nursing Facility,43,32.798485,-117.150822,"(32.798485, -117.150822)"
080000036,Sharp Memorial Hospital,7901 Frost St,San Diego,SAN DIEGO,92123,General Acute Care Hospital,666,32.800234,-117.154634,"(32.800234, -117.154634)"
080000037,Cloisters - La Jolla,7160 Fay Ave,La Jolla,SAN DIEGO,92037,Skilled Nursing Facility,59,32.836085,-117.272418,"(32.836085, -117.272418)"
080000043,Fallbrook Hospital District,624 E Elder St,Fallbrook,SAN DIEGO,92028,General Acute Care Hospital,47,33.380203,-117.244475,"(33.380203, -117.244475)"
080000045,Grossmont Hospital,5555 Grossmont Center Dr,La Mesa,SAN DIEGO,91942,General Acute Care Hospital,540,32.780076,-117.009775,"(32.780076, -117.009775)"
080000050,Palomar Vista Healthcare Center,201 N Fig St,Escondido,SAN DIEGO,92025,Skilled Nursing Facility,74,33.126172,-117.073469,"(33.126172, -117.073469)"
080000052,Rancho Vista,760 E Bobier Dr,Vista,SAN DIEGO,92084,Skilled Nursing Facility,57,33.217732,-117.233338,"(33.217732, -117.233338)"
080000053,Fallbrook Hospital  District Skilled Nursing Facility,325 Potter St,Fallbrook,SAN DIEGO,92028,Skilled Nursing Facility,93,33.379445,-117.242834,"(33.379445, -117.242834)"
080000056,Care With Dignity Convalescent Hospital,8060 Frost St,San Diego,SAN DIEGO,92123,Skilled Nursing Facility,99,32.80028,-117.15173,"(32.80028, -117.15173)"
080000059,Lakeside Special Care Center,11962 Woodside Ave,Lakeside,SAN DIEGO,92040,Skilled Nursing Facility,94,32.855536,-116.935041,"(32.855536, -116.935041)"
080000060,San Diego Healthcare Center,2828 Meadow Lark Dr,San Diego,SAN DIEGO,92123,Skilled Nursing Facility,305,32.794174,-117.154367,"(32.794174, -117.154367)"
080000062,Parkway Hills Nursing & Rehabilitation,7760 Parkway Dr,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,60,32.774178,-117.030405,"(32.774178, -117.030405)"
080000066,Palomar Heights Care Center,1260 E Ohio Ave,Escondido,SAN DIEGO,92027,Skilled Nursing Facility,98,33.128694,-117.064325,"(33.128694, -117.064325)"
080000068,Kearny Mesa Convalescent And Nursing Home,7675 Family Cir,San Diego,SAN DIEGO,92111,Skilled Nursing Facility,98,32.799283,-117.157365,"(32.799283, -117.157365)"
080000070,Arbor Hills Nursing Center,7800 Parkway Dr,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,100,32.774456,-117.028027,"(32.774456, -117.028027)"
080000073,Carlsbad By The Sea,2855 Carlsbad Blvd,Carlsbad,SAN DIEGO,92008,Skilled Nursing Facility,33,33.159639,-117.352255,"(33.159639, -117.352255)"
080000077,Aviara Healthcare Center,944 Regal Rd,Encinitas,SAN DIEGO,92024,Skilled Nursing Facility,120,33.040325,-117.281553,"(33.040325, -117.281553)"
080000087,La Jolla Nursing And Rehabilitation Center,2552 Torrey Pines Rd,La Jolla,SAN DIEGO,92037,Skilled Nursing Facility,161,32.851269,-117.248275,"(32.851269, -117.248275)"
080000089,La Paloma Healthcare Center,3232 Thunder Dr,Oceanside,SAN DIEGO,92056,Skilled Nursing Facility,93,33.187158,-117.288214,"(33.187158, -117.288214)"
080000090,Valle Vista Convalescent Hospital,1025 W 2nd Ave,Escondido,SAN DIEGO,92025,Skilled Nursing Facility,59,33.113133,-117.093725,"(33.113133, -117.093725)"
080000094,The Bradley Court,675 E Bradley Ave,El Cajon,SAN DIEGO,92021,Skilled Nursing Facility,56,32.819085,-116.952255,"(32.819085, -116.952255)"
080000099,Life Care Center Of Vista,304 N Melrose Dr,Vista,SAN DIEGO,92083,Skilled Nursing Facility,176,33.200822,-117.255537,"(33.200822, -117.255537)"
080000100,White Sands - La Jolla,7450 Olivetas Ave,La Jolla,SAN DIEGO,92037,Skilled Nursing Facility,38,32.838195,-117.279506,"(32.838195, -117.279506)"
080000121,UCSD Home Infusion Pharmacy,9610 Ridgehaven Ct,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.820936,-117.122443,"(32.820936, -117.122443)"
080000124,Scripps Home Health Care Services,9619 Chesapeake Dr,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.833755,-117.123847,"(32.833755, -117.123847)"
080000130,Accentcare Home Health Of California,5050 Murphy Canyon Rd,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.830431,-117.120274,"(32.830431, -117.120274)"
080000132,Sharp Home Care,8080 Dagget St,San Diego,SAN DIEGO,92111,Home Health Agency,0,32.823643,-117.150283,"(32.823643, -117.150283)"
080000133,Palomar Pomerado Home Health,975 S Andreasen Dr,Escondido,SAN DIEGO,92029,Home Health Agency,0,33.11193,-117.116144,"(33.11193, -117.116144)"
080000137,Tri-city Home Care,2095 W Vista Way,Vista,SAN DIEGO,92083,Home Health Agency,0,33.184598,-117.287328,"(33.184598, -117.287328)"
080000142,Palomar Medical Center,555 E Valley Pkwy,Escondido,SAN DIEGO,92025,General Acute Care Hospital,295,33.126009,-117.076087,"(33.126009, -117.076087)"
080000144,Kaiser Foundation Hospital - San Diego,4647 Zion Ave,San Diego,SAN DIEGO,92120,General Acute Care Hospital,414,32.792943,-117.094436,"(32.792943, -117.094436)"
080000147,Pomerado Hospital,15615 Pomerado Rd,Poway,SAN DIEGO,92064,General Acute Care Hospital,236,32.997119,-117.05781,"(32.997119, -117.05781)"
080000149,Scripps Memorial Hospital - La Jolla,9888 Genesee Ave,La Jolla,SAN DIEGO,92037,General Acute Care Hospital,318,32.885518,-117.22304,"(32.885518, -117.22304)"
080000150,Scripps Memorial Hospital - Encinitas,354 Santa Fe Dr,Encinitas,SAN DIEGO,92024,General Acute Care Hospital,158,33.036303,-117.283457,"(33.036303, -117.283457)"
080000152,Tri-city Medical Center,4002 Vista Way,Oceanside,SAN DIEGO,92056,General Acute Care Hospital,397,33.183747,-117.291723,"(33.183747, -117.291723)"
080000156,Alvarado Parkway Institute Behavioral Healthsystem,7050 Parkway Dr,La Mesa,SAN DIEGO,91942,Acute Psychiatric Hospital,66,32.774468,-117.044579,"(32.774468, -117.044579)"
080000176,Beach Area Family Health Center,3705 Mission Blvd,San Diego,SAN DIEGO,92109,Community Clinic,0,32.782697,-117.252431,"(32.782697, -117.252431)"
080000186,Fresenius Medical Care - Balboa - Kearny Mesa,7927 Ostrow St,San Diego,SAN DIEGO,92111,Chronic Dialysis Clinic,28,32.813287,-117.154808,"(32.813287, -117.154808)"
080000188,Neighborhood Healthcare Womens Center,728 E Valley Pkwy,Escondido,SAN DIEGO,92025,Community Clinic,0,33.127716,-117.073052,"(33.127716, -117.073052)"
080000189,Fallbrook Family Health Center,1328 S Mission Rd,Fallbrook,SAN DIEGO,92028,Community Clinic,0,33.368699,-117.25077,"(33.368699, -117.25077)"
080000192,Escondido Dialysis,203 E 2nd Ave,Escondido,SAN DIEGO,92025,Chronic Dialysis Clinic,21,33.1215,-117.079257,"(33.1215, -117.079257)"
080000195,Linda Vista Healthcare Center,6973 Linda Vista Rd,San Diego,SAN DIEGO,92111,Community Clinic,0,32.787625,-117.169538,"(32.787625, -117.169538)"
080000196,Gentiva Health Services,1503 N Imperial Ave,El Centro,IMPERIAL,92243,Home Health Agency,0,32.806888,-115.569704,"(32.806888, -115.569704)"
080000198,Kaiser Foundation Hospital San Diego HHA-parent,10992 San Diego Mission Rd,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.784983,-117.102427,"(32.784983, -117.102427)"
080000204,Gentiva Health Services,2525 Camino Del Rio S,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.767643,-117.138765,"(32.767643, -117.138765)"
080000209,Amedisys Home Health Care,9665 Chesapeake Dr,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.832868,-117.123133,"(32.832868, -117.123133)"
080000215,Western Health Homecare,591 Camino De La Reina,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.766314,-117.161416,"(32.766314, -117.161416)"
080000222,Life Care Center Of Escondido,1980 Felicita Rd,Escondido,SAN DIEGO,92025,Skilled Nursing Facility,120,33.097728,-117.083022,"(33.097728, -117.083022)"
080000233,Surgical Eye Care Center,655 Laguna Dr,Carlsbad,SAN DIEGO,92008,Surgical Clinic,0,33.165183,-117.35085,"(33.165183, -117.35085)"
080000237,North County Health Services - San Dieguito,629 2nd St,Encinitas,SAN DIEGO,92024,Community Clinic,0,33.044165,-117.29452,"(33.044165, -117.29452)"
080000238,North County Health Services - San Marcos,150 Valpreda Rd,San Marcos,SAN DIEGO,92069,Community Clinic,0,33.140481,-117.155982,"(33.140481, -117.155982)"
080000241,North County Health Services - Ramona,217 Earlham St,Ramona,SAN DIEGO,92065,Community Clinic,0,33.051149,-116.854536,"(33.051149, -116.854536)"
080000243,Oceanside-carlsbad Community Clinic,605 Crouch St,Oceanside,SAN DIEGO,92054,Community Clinic,0,33.196251,-117.353746,"(33.196251, -117.353746)"
080000245,Horizon Hospice,13053 Poway Rd,Poway,SAN DIEGO,92064,Hospice,0,32.95646,-117.048221,"(32.95646, -117.048221)"
080000251,Operation Samahan Mira Mesa Outreach Clinic,10737 Camino Ruiz,San Diego,SAN DIEGO,92126,Community Clinic,0,32.913954,-117.143777,"(32.913954, -117.143777)"
080000254,Planned Parenthood Association Of San Diego County,7526 Clairemont Mesa Blvd,San Diego,SAN DIEGO,92111,Community Clinic,0,32.832802,-117.157177,"(32.832802, -117.157177)"
080000255,Planned Parenthood - Escondido Center,347 W Mission Ave,Escondido,SAN DIEGO,92025,Community Clinic,0,33.128945,-117.089668,"(33.128945, -117.089668)"
080000258,Planned Parenthood - Pacific Beach Clinic,1602 Thomas Ave,San Diego,SAN DIEGO,92109,Community Clinic,0,32.796974,-117.23973,"(32.796974, -117.23973)"
080000260,Planned Parenthood - Isabella Center,1820 Marron Rd,Carlsbad,SAN DIEGO,92008,Community Clinic,0,33.177152,-117.339693,"(33.177152, -117.339693)"
080000268,Vista Community Clinic,1000 Vale Terrace Dr,Vista,SAN DIEGO,92084,Community Clinic,0,33.209032,-117.228689,"(33.209032, -117.228689)"
080000307,Las Villas Del Norte Health Center,1335 Las Villas Way,Escondido,SAN DIEGO,92026,Skilled Nursing Facility,48,33.139218,-117.093834,"(33.139218, -117.093834)"
080000387,Tri-city Medical Center,4002 Vista Way,Oceanside,SAN DIEGO,92056,Acute Psychiatric Hospital,29,33.183747,-117.291723,"(33.183747, -117.291723)"
080000470,Casa Palmera Care Center,14750 El Camino Real,Del Mar,SAN DIEGO,92014,Skilled Nursing Facility,93,32.983758,-117.226823,"(32.983758, -117.226823)"
080000477,Palomar Medical Center,555 E Valley Pkwy,Escondido,SAN DIEGO,92025,Acute Psychiatric Hospital,26,33.126009,-117.076087,"(33.126009, -117.076087)"
080000540,Elizabeth Hospice,500 La Terraza Blvd,Escondido,SAN DIEGO,92025,Hospice,0,33.112375,-117.096484,"(33.112375, -117.096484)"
080000541,Interim Healthcare Of San Diego County,5625 Ruffin Rd,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.836655,-117.126654,"(32.836655, -117.126654)"
080000617,Stanford Court Skilled Nursing & Rehab Center,8778 Cuyamaca St,Santee,SAN DIEGO,92071,Skilled Nursing Facility,105,32.834869,-116.983913,"(32.834869, -116.983913)"
080000620,RAI - Fletcher Parkway - El Cajon,858 Fletcher Pkwy,El Cajon,SAN DIEGO,92020,Chronic Dialysis Clinic,22,32.807813,-116.972443,"(32.807813, -116.972443)"
080000642,Remington Club Health Center,16915 Hierba Dr,San Diego,SAN DIEGO,92128,Skilled Nursing Facility,59,33.020285,-117.071471,"(33.020285, -117.071471)"
080000660,Planned Parenthood - Mira Mesa Clinic,10737 Camino Ruiz,San Diego,SAN DIEGO,92126,Community Clinic,0,32.913954,-117.143777,"(32.913954, -117.143777)"
080000665,Aurora San Diego,11878 Avenue Of Industry,San Diego,SAN DIEGO,92128,Acute Psychiatric Hospital,80,32.99061,-117.075278,"(32.99061, -117.075278)"
080000679,Villa Pomerado,15615 Pomerado Rd,Poway,SAN DIEGO,92064,Skilled Nursing Facility,129,32.997119,-117.05781,"(32.997119, -117.05781)"
080000685,Casa De Las Campanas,18655 W Bernardo Dr,San Diego,SAN DIEGO,92127,Skilled Nursing Facility,99,33.050572,-117.075673,"(33.050572, -117.075673)"
080000692,Carmel Mountain Rehabilitation & Healthcare Center,11895 Avenue Of Industry,San Diego,SAN DIEGO,92128,Skilled Nursing Facility,120,32.99061,-117.075278,"(32.99061, -117.075278)"
080000694,Villa Rancho Bernardo Care Center,15720 Bernardo Center Dr,San Diego,SAN DIEGO,92127,Skilled Nursing Facility,299,33.005023,-117.09388,"(33.005023, -117.09388)"
080000705,Vista Pacifica,7989 Linda Vista Rd,San Diego,SAN DIEGO,92111,Chemical Dependency Recovery Hospital,16,32.806188,-117.154929,"(32.806188, -117.154929)"
080000725,Vista Community Clinic - Grapevine,134 Grapevine Rd,Vista,SAN DIEGO,92083,Community Clinic,0,33.191422,-117.275121,"(33.191422, -117.275121)"
080000750,San Diego Dialysis Services,5995 Severin Dr,La Mesa,SAN DIEGO,91942,Chronic Dialysis Clinic,24,32.78748,-116.999271,"(32.78748, -116.999271)"
080000752,Grossmont Gardens Health Care Center,5480 Marengo Ave,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,39,32.777617,-117.023026,"(32.777617, -117.023026)"
080000761,Vista Healthcare Center,247 E Bobier Dr,Vista,SAN DIEGO,92084,Skilled Nursing Facility,187,33.221324,-117.242129,"(33.221324, -117.242129)"
080000795,Vista Knoll Specialized Care Facility,2000 Westwood Rd,Vista,SAN DIEGO,92083,Skilled Nursing Facility,119,33.192145,-117.286367,"(33.192145, -117.286367)"
080000801,Village Square Nursing And Rehabilitation Center,1586 W San Marcos Blvd,San Marcos,SAN DIEGO,92078,Skilled Nursing Facility,118,33.131457,-117.203142,"(33.131457, -117.203142)"
080000810,Care Meridian,2960 Bernardo Ave,Escondido,SAN DIEGO,92029,Congregate Living Health Facility,10,33.07974,-117.092075,"(33.07974, -117.092075)"
080000820,Country Hills Health Care Center,1580 Broadway,El Cajon,SAN DIEGO,92021,Skilled Nursing Facility,305,32.807796,-116.92381,"(32.807796, -116.92381)"
080000835,The Dorothy And Joseph Goldberg Healthcare Center,211 Saxony Rd,Encinitas,SAN DIEGO,92024,Skilled Nursing Facility,58,33.052105,-117.285586,"(33.052105, -117.285586)"
080000854,North Coast Kidney Center,3300 Vista Way,Oceanside,SAN DIEGO,92056,Chronic Dialysis Clinic,30,33.180889,-117.315998,"(33.180889, -117.315998)"
080000873,Maxim Healthcare Services,5030 Camino De La Siesta,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.765106,-117.160349,"(32.765106, -117.160349)"
080000875,Fallbrook Hospice,521 E Elder St # 208,Fallbrook,SAN DIEGO,92028,Hospice,0,33.380152,-117.246365,"(33.380152, -117.246365)"
080000885,Fallbrook Home Health And Hospice,521 E Elder St,Fallbrook,SAN DIEGO,92028,Home Health Agency,0,33.380152,-117.246365,"(33.380152, -117.246365)"
080000892,University Ambulatory Surgery Center,8929 University Center Ln,San Diego,SAN DIEGO,92122,Surgical Clinic,0,32.870277,-117.226255,"(32.870277, -117.226255)"
080000914,Interim Healthcare Of San Diego County,425 W 5th Ave,Escondido,SAN DIEGO,92025,Home Health Agency,0,33.11573,-117.0835,"(33.11573, -117.0835)"
080000918,Neighborhood Healthcare - Escondido,460 N Elm St,Escondido,SAN DIEGO,92025,Community Clinic,0,33.12849,-117.07288,"(33.12849, -117.07288)"
080000922,Together We Grow,5055 Viewridge Ave,San Diego,SAN DIEGO,92123,Pediatric Day Health & Respite Care Facility,75,32.828252,-117.121594,"(32.828252, -117.121594)"
080000962,The Springs At Pacific Regent,3884 Nobel Dr,San Diego,SAN DIEGO,92122,Skilled Nursing Facility,59,32.868571,-117.222675,"(32.868571, -117.222675)"
080001002,La Jolla Nurses Homecare,2223 Ave De La Playa,La Jolla,SAN DIEGO,92037,Home Health Agency,0,32.853797,-117.255118,"(32.853797, -117.255118)"
080001012,Vitas Healthcare Corporation Of California - Hospice,9655 Granite Ridge Dr,San Diego,SAN DIEGO,92123,Hospice,0,32.806504,-117.12017,"(32.806504, -117.12017)"
080001013,Children's Homecare,8291 Aero Pl,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.807959,-117.147118,"(32.807959, -117.147118)"
080001044,Coram Specialty Infusion Services An Apria Healthcare Company,12310 World Trade Dr,San Diego,SAN DIEGO,92128,Home Health Agency,0,32.98794,-117.071545,"(32.98794, -117.071545)"
080001048,Accentcare Home Health Of California  - Escondido - Branch,365 S Rancho Santa Fe Rd,San Marcos,SAN DIEGO,92078,Home Health Agency,0,33.1416,-117.202511,"(33.1416, -117.202511)"
080001049,Accentcare Home Health Of California,5050 Murphy Canyon Rd,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.830431,-117.120274,"(32.830431, -117.120274)"
080001054,Ambulatory Care Surgery Center,5225 Kearny Villa Way,San Diego,SAN DIEGO,92123,Surgical Clinic,0,32.829837,-117.140155,"(32.829837, -117.140155)"
080001062,Caresouth Home Health Of San Diego,5095 Murphy Canyon Rd,San Diego,SAN DIEGO,92123,Home Health Agency,0,32.830746,-117.12029,"(32.830746, -117.12029)"
080001074,Western Health Private Homecare,591 Camino De La Reina,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.766314,-117.161416,"(32.766314, -117.161416)"
080001084,Imperial Valley Home Health Care Corporation,630 S Brawley Ave,Brawley,IMPERIAL,92227,Home Health Agency,0,32.972121,-115.542588,"(32.972121, -115.542588)"
080001107,Grossmont Hospital,5555 Grossmont Center Dr,La Mesa,SAN DIEGO,91942,Skilled Nursing Facility,30,32.780076,-117.009775,"(32.780076, -117.009775)"
080001180,Accentcare Home Health Of California,2344 S 2nd St,El Centro,IMPERIAL,92243,Home Health Agency,0,32.771856,-115.546034,"(32.771856, -115.546034)"
080001187,Neighborhood Healthcare - Lakeside,10039 Vine St,Lakeside,SAN DIEGO,92040,Community Clinic,0,32.861209,-116.9212,"(32.861209, -116.9212)"
080001197,Vista Community Clinic - Pier View Way,818 Pier View Way,Oceanside,SAN DIEGO,92054,Community Clinic,0,33.19845,-117.377465,"(33.19845, -117.377465)"
080001201,Hospice By The Sea,312 S Cedros Ave,Solana Beach,SAN DIEGO,92075,Hospice,0,32.988613,-117.26974,"(32.988613, -117.26974)"
080001203,Excel Home Health,5575 Lake Park Way,La Mesa,SAN DIEGO,91942,Home Health Agency,0,32.782112,-117.034223,"(32.782112, -117.034223)"
080001233,Encinitas Dialysis,332 Santa Fe Dr,Encinitas,SAN DIEGO,92024,Chronic Dialysis Clinic,15,33.036287,-117.285078,"(33.036287, -117.285078)"
080001257,Pomerado Hospital,15615 Pomerado Rd,Poway,SAN DIEGO,92064,Acute Psychiatric Hospital,12,32.997119,-117.05781,"(32.997119, -117.05781)"
080001264,Las Villas De Carlsbad Health Center,1094 Laguna Dr,Carlsbad,SAN DIEGO,92008,Skilled Nursing Facility,34,33.165292,-117.344095,"(33.165292, -117.344095)"
080001283,Grossmont Hospital,5555 Grossmont Center Dr,La Mesa,SAN DIEGO,91942,Acute Psychiatric Hospital,46,32.780076,-117.009775,"(32.780076, -117.009775)"
080001287,Alternatives Pregnancy Care Clinic,257 E 2nd Ave,Escondido,SAN DIEGO,92025,Free Clinic,0,33.121864,-117.078523,"(33.121864, -117.078523)"
080001307,Nchs Mission Mesa Community Health Center,2210 Mesa Dr,Oceanside,SAN DIEGO,92054,Community Clinic,0,33.207985,-117.358191,"(33.207985, -117.358191)"
080001309,We Care Home Health Services,2650 Camino Del Rio N,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.772863,-117.134679,"(32.772863, -117.134679)"
080001315,Ramona Pregnancy Care Clinic,1530 Main St,Ramona,SAN DIEGO,92065,Free Clinic,0,33.037115,-116.877414,"(33.037115, -116.877414)"
080001321,RAI - Mission Gorge - San Diego,7007 Mission Gorge Rd,San Diego,SAN DIEGO,92120,Chronic Dialysis Clinic,33,32.800198,-117.091289,"(32.800198, -117.091289)"
080001322,San Diego Dialysis Services,570 N 2nd St,El Cajon,SAN DIEGO,92021,Chronic Dialysis Clinic,24,32.801532,-116.935826,"(32.801532, -116.935826)"
080001345,Mission Home Health Of San Diego,2375 Northside Dr,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.782882,-117.126572,"(32.782882, -117.126572)"
080001357,Top Care Home Health,9683 Tierra Grande St,San Diego,SAN DIEGO,92126,Home Health Agency,0,32.895037,-117.120702,"(32.895037, -117.120702)"
080001381,Hospice Of Imperial Valley,300 S Imperial Ave,El Centro,IMPERIAL,92243,Hospice,0,32.790447,-115.569901,"(32.790447, -115.569901)"
080001386,Crescent Healthcare,10070 Carroll Canyon Rd,San Diego,SAN DIEGO,92131,Home Health Agency,0,32.903889,-117.109714,"(32.903889, -117.109714)"
080001400,First At Nursing Services,411 Camino Del Rio S,San Diego,SAN DIEGO,92108,Home Health Agency,0,32.7609,-117.161333,"(32.7609, -117.161333)"
080001427,Odyssey Hospice,9444 Balboa Ave,San Diego,SAN DIEGO,92123,Hospice,0,32.822413,-117.126849,"(32.822413, -117.126849)"
080001458,RAI - El Camino Real - Oceanside,2229 S El Camino Real,Oceanside,SAN DIEGO,92054,Chronic Dialysis Clinic,21,33.185754,-117.328244,"(33.185754, -117.328244)"
080001461,Neighborhood Healthcare - Pauma Valley,16650 Highway 76,Pauma Valley,SAN DIEGO,92061,Community Clinic,0,33.2938,-116.969445,"(33.2938, -116.969445)"
080001468,Borrego Medical Clinic,4343 YAQUI PASS ROAD/PO BOX 2369,BORREGO SPRINGS,SAN DIEGO,92004,Community Clinic,0,33.19401,-116.330401,"(33.19401, -116.330401)"
080001470,Sharp Mary Birch Hospital For Women And Newborns,3003 Health Center Dr,San Diego,SAN DIEGO,92123,General Acute Care Hospital,206,32.798978,-117.15594,"(32.798978, -117.15594)"
080001482,Hospice Of The North Coast,2525 Pio Pico Dr,Carlsbad,SAN DIEGO,92008,Hospice,0,33.169826,-117.344505,"(33.169826, -117.344505)"
080001490,Fresenius Medical Care - Buena Creek,950 Hacienda Dr,Vista,SAN DIEGO,92081,Chronic Dialysis Clinic,22,33.193322,-117.262494,"(33.193322, -117.262494)"
080001502,Emeritus At Carlsbad,3140 El Camino Real,Carlsbad,SAN DIEGO,92008,Skilled Nursing Facility,45,33.174002,-117.324263,"(33.174002, -117.324263)"
080001507,Carlsbad Family Medicine,1295 Carlsbad Village Dr,Carlsbad,SAN DIEGO,92008,Community Clinic,0,33.165423,-117.338799,"(33.165423, -117.338799)"
080001515,Emeritus At Carmel Valley,13101 Hartfield Ave,San Diego,SAN DIEGO,92130,Skilled Nursing Facility,45,32.95654,-117.230146,"(32.95654, -117.230146)"
080001522,Nchs Women's Health Services,2210 Mesa Dr,Oceanside,SAN DIEGO,92054,Community Clinic,0,33.207985,-117.358191,"(33.207985, -117.358191)"
080001523,Nchs Women's Health Services,1130 2nd St,Encinitas,SAN DIEGO,92024,Community Clinic,0,33.03759,-117.293691,"(33.03759, -117.293691)"
080001536,Carehouse Healthcare Center,1800 Old Tustin Ave,Santa Ana,ORANGE,92705,Skilled Nursing Facility,174,33.761794,-117.835798,"(33.761794, -117.835798)"
080001538,Fountain Care Center,1835 W La Veta Ave,Orange,ORANGE,92868,Skilled Nursing Facility,169,33.780389,-117.872213,"(33.780389, -117.872213)"
080001540,Anaheim Terrace Care Center,141 S Knott Ave,Anaheim,ORANGE,92804,Skilled Nursing Facility,99,33.83006,-118.010966,"(33.83006, -118.010966)"
080001542,Alta Gardens Care Center,13075 Blackbird St,Garden Grove,ORANGE,92843,Skilled Nursing Facility,129,33.77341,-117.913058,"(33.77341, -117.913058)"
080001557,Sharp Hospicecare,8881 Fletcher Pkwy,La Mesa,SAN DIEGO,91942,Hospice,0,32.784319,-117.007653,"(32.784319, -117.007653)"
